 absolute angle of inclination | angle of inclination | number of electrodes | voltage magnitude | voltage frequency | electrode dimension | x pitch | number of phases | grain mass density |  mesh size | gravity | phase shift | maximum classified radius | distance between dust generation and first electrode | yield 
     THETA        theta       n      phi         f     dimension     xpitch   phases mass density       h             g      phase shift    max radius dust distance       yield
    345.00000     15.00000    10   1000.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.884569793940E-03 3.052141368389E-01
    345.00000     15.00000    10   1000.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.384568780661E-03 4.289734363556E-01
    345.00000     15.00000    10   1000.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.884567767382E-03 4.077714383602E-01
    345.00000     15.00000    10   1000.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.182685792446E-02 8.985744118690E-01
    345.00000     15.00000    10   1000.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.355714380741E-03 2.365922480822E-01
    345.00000     15.00000    10    950.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.884569793940E-03 3.421855866909E-01
    345.00000     15.00000    10    950.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.384568780661E-03 2.467955499887E-01
    345.00000     15.00000    10    950.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.884567767382E-03 3.522607982159E-01
    345.00000     15.00000    10    950.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.182685792446E-02 7.162125110626E-01
    345.00000     15.00000    10    950.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.355714380741E-03 1.864532679319E-01
    345.00000     15.00000    10    900.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.884569793940E-03 2.738037705421E-01
    345.00000     15.00000    10    900.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.384568780661E-03 1.946538835764E-01
    345.00000     15.00000    10    900.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.884567767382E-03 2.769062519073E-01
    345.00000     15.00000    10    900.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.355714380741E-03 5.890256166458E-01
    345.00000     15.00000    10    900.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.182685792446E-02 2.229785770178E-01
    345.00000     15.00000    10    850.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.884569793940E-03 2.206456474960E-02
    345.00000     15.00000    10    850.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.384568780661E-03 1.504025161266E-01
    345.00000     15.00000    10    850.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.884567767382E-03 2.130938023329E-01
    345.00000     15.00000    10    850.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.355714380741E-03 4.650864601135E-01
    345.00000     15.00000    10    850.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.182685792446E-02 1.687768548727E-01
    345.00000     15.00000    10    800.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.884569793940E-03 1.180162802339E-01
    345.00000     15.00000    10    800.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.384568780661E-03 1.181008815765E-01
    345.00000     15.00000    10    800.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.884567767382E-03 1.639268249273E-01
    345.00000     15.00000    10    800.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.355714380741E-03 3.534623086452E-01
    345.00000     15.00000    10    800.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.182685792446E-02 1.297143548727E-01
    345.00000     15.00000    10    750.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.884569793940E-03 8.553310483694E-02
    345.00000     15.00000    10    750.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.384568780661E-03 8.104268461466E-02
    345.00000     15.00000    10    750.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.884567767382E-03 1.203729584813E-01
    345.00000     15.00000    10    750.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.355714380741E-03 2.734519243240E-01
    345.00000     15.00000    10    750.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.182685792446E-02 9.780873358250E-02
    345.00000     15.00000    10    700.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.884569793940E-03 6.443273276091E-02
    345.00000     15.00000    10    700.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.384568780661E-03 6.357426941395E-02
