,absolute angle of inclination,angle of inclination,number of electrodes,voltage magnitude,voltage frequency,electrode dimension,x pitch,number of phases,grain mass density,mesh size,gravity,phase shift,time step,maximum classified radius,distance between dust generation and first electrode,grain number density,yield
0,25.0,25.0,6.0,1000.0,20.0,5.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,0.093714974821
1,50.0,50.0,4.0,500.0,20.0,5.0,35.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.125134125352,1.0,0.005639104173
2,25.0,25.0,10.0,1000.0,10.0,4.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.074145354331
3,25.0,25.0,8.0,1500.0,15.0,4.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.065283074975,1.0,0.378099262714
4,50.0,50.0,6.0,1500.0,5.0,6.0,40.0,4.0,3000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.238350704312,1.0,0.026919580996
5,335.0,25.0,4.0,1500.0,5.0,3.0,20.0,4.0,2000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.014510769397,1.0,0.552622675896
6,25.0,25.0,10.0,500.0,15.0,4.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.00390490354
7,25.0,25.0,8.0,1000.0,5.0,4.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.065283074975,1.0,0.036306265742
8,25.0,25.0,8.0,500.0,5.0,6.0,40.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.13056614995,1.0,8.938023e-06
9,50.0,50.0,4.0,500.0,20.0,5.0,35.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.125134125352,1.0,0.002137895674
10,25.0,25.0,10.0,1000.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.020577820018
11,25.0,25.0,10.0,1000.0,10.0,5.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.005509942304
12,50.0,50.0,8.0,1500.0,5.0,5.0,35.0,4.0,3000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.291979640722,1.0,0.007971904241
13,25.0,25.0,8.0,1500.0,15.0,5.0,20.0,4.0,2000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.065283074975,1.0,0.006147917826
14,25.0,25.0,8.0,1000.0,20.0,4.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.065283074975,1.0,0.07982737571
15,50.0,50.0,8.0,500.0,20.0,5.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,0.000893911929
16,25.0,25.0,6.0,2000.0,20.0,5.0,35.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.081603839993,1.0,0.030694484711
17,50.0,50.0,10.0,500.0,10.0,4.0,30.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.32177349925,1.0,6.32415e-06
18,25.0,25.0,10.0,1000.0,10.0,6.0,20.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.005447832402
19,25.0,25.0,4.0,500.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.027978461236,1.0,0.021546470001
20,25.0,25.0,10.0,1500.0,20.0,4.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.357475757599
21,335.0,25.0,4.0,500.0,10.0,5.0,20.0,4.0,1000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013510771096,1.0,0.422633200884
22,50.0,50.0,8.0,1000.0,15.0,6.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,0.060513142496
23,25.0,25.0,10.0,1000.0,15.0,5.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.023166503757
24,25.0,25.0,6.0,1000.0,20.0,6.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,0.320221453905
25,50.0,50.0,6.0,500.0,15.0,6.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.119175359607,1.0,0.01414971333
26,25.0,25.0,10.0,500.0,20.0,6.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.000642122759
27,50.0,50.0,6.0,500.0,15.0,6.0,40.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.238350704312,1.0,0.000280376727
28,50.0,50.0,6.0,1500.0,5.0,4.0,30.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.178763061762,1.0,0.11785838753
29,310.0,50.0,8.0,500.0,20.0,4.0,30.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,0.248249456286
30,25.0,25.0,4.0,1000.0,10.0,4.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027978463098,1.0,1.11195397377
31,310.0,50.0,4.0,500.0,20.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.029371082783,1.0,0.74430513382
32,25.0,25.0,4.0,2000.0,15.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.041967689991,1.0,1.091692566872
33,25.0,25.0,10.0,2000.0,15.0,4.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.840751588345
34,335.0,25.0,8.0,500.0,20.0,4.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.01535846293,1.0,1.082675933838
35,335.0,25.0,8.0,500.0,10.0,6.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014358460903,1.0,0.832581579685
36,335.0,25.0,4.0,500.0,15.0,5.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.013510771096,1.0,0.770614683628
37,50.0,50.0,10.0,1000.0,15.0,5.0,35.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.375402361155,1.0,0.656747579575
38,335.0,25.0,4.0,500.0,20.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.017016153783,1.0,0.695919811726
39,25.0,25.0,6.0,2000.0,5.0,5.0,20.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,0.821309626102
40,50.0,50.0,6.0,1000.0,15.0,5.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.119175352156,1.0,0.779933273792
41,50.0,50.0,6.0,2000.0,10.0,4.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.119175359607,1.0,0.846736609936
42,25.0,25.0,6.0,2000.0,15.0,5.0,35.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.081603839993,1.0,0.816765129566
43,50.0,50.0,4.0,1000.0,15.0,6.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,0.715378284454
44,50.0,50.0,6.0,2000.0,5.0,5.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.119175352156,1.0,0.74944537878
